,Unnamed: 0,obj_values,MRO_obj_values,SAA_obj_values,epsilon,online_time,MRO_time,SAA_time,MRO_mean_val,MRO_square_val,MRO_sig_val,SAA_mean_val,SAA_square_val,SAA_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,SAA_worst_values,worst_times,MRO_worst_times,SAA_worst_times,worst_values_regret,MRO_worst_values_regret,SAA_worst_values_regret,worst_times_regret,MRO_worst_times_regret,SAA_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1,SAA_eval0,SAA_eval1,SAA_satisfy0,SAA_satisfy1,SAA_worst_satisfy0,SAA_worst_satisfy1
0,0.0,0.009128046349652726,0.009128046349648825,-0.0107365099139449,0.0144084415459439,0.046450871868957494,0.0027001020000000002,0.001390227,1.612464757541638e-09,1.7992334356003378e-34,8.801899692975111e-20,1.612464757541638e-09,1.7992334356003378e-34,2.6952740355337245e-19,1.612464757541638e-09,1.7992334356003378e-34,8.801899692992741e-20,0.00912804529555145,0.009128045295546248,0.03513896481695395,5.947e-05,6.317e-05,6.007e-05,3.959531736920795e-10,3.959531736920795e-10,3.959531736920795e-10,5.9e-05,5.918e-05,5.9552499999999996e-05,0.0,0.09346079016746642,2.543787331818481e-09,0.04314260831540625,0.0382629764059666,0.0,0.0,0.043142608315622874,0.03826297640653947,0.0,0.0,0.0,0.0,0.0,0.0,0.07054514684969411,0.06998578326150805,0.0,0.0,0.0,0.0
1,1.0,0.009133853737305525,0.009133853737310675,-0.008814542793711725,0.014342916754322,0.003912784714385925,0.00274682675,0.0016509065,2.519225458686452e-09,1.2959155249172655e-34,3.0569447942493227e-20,2.519225458686452e-09,1.2959155249172655e-34,9.285021113668228e-20,2.4302636350027566e-09,1.4993611963336148e-34,5.749435428810678e-20,0.009133853503964775,0.0091338535039562,0.034921734725873274,5.2934999999999994e-05,5.537325e-05,5.317825e-05,0.015406323977850375,0.015406323978304175,0.0454743264097157,5.44485e-05,5.504075e-05,5.4180250000000004e-05,1.0,0.12395672908582721,0.07606173126643964,0.035999755500418125,0.03014607756337815,0.0,0.0,0.0359997554963713,0.030146077563086827,0.0,0.0,0.0,0.0,0.0,0.0,0.06217963095613473,0.06878523489648611,0.0,0.0,0.0,0.0
2,2.0,0.014191806435318225,0.01419180643530895,-0.004377961447987625,0.0141982623396023,0.004174549316864,0.0030396579999999998,0.0019355497499999998,2.136134379736275e-09,1.3188882755234438e-34,4.1450193468707777e-20,2.136134379736275e-09,1.3188882755234438e-34,1.2205681007577676e-19,2.3090289387215296e-09,9.995741308890764e-35,4.274878527917245e-20,0.014191806250545726,0.014191806250547475,0.033528164305692526,6.804249999999999e-05,6.849e-05,6.89935e-05,0.020682246190175772,0.020682246194140247,0.0683071635972426,6.853749999999999e-05,6.864275e-05,6.900999999999999e-05,4.0,0.10394150581188992,0.09542447840011313,0.023158938812425325,0.019585068779471228,0.0,0.0,0.0231589388126179,0.019585068779711876,0.0,0.0,0.0,0.0,0.0,0.0,0.04576287798849805,0.04288003734295495,0.0,0.0,0.0,0.0
3,3.0,0.01495262471693495,0.01495262471693655,-0.003288379982134425,0.0141609131442888,0.00467002058523555,0.0031982775,0.00208924975,2.3349251422905808e-09,1.5410036519436273e-34,4.346503963321129e-20,2.3349251422905808e-09,1.5410036519436273e-34,2.0163682239111954e-19,2.3349251422905808e-09,8.996167178001691e-35,2.8739787209579116e-20,0.014952625088888925,0.01495262508889095,0.0348661881481798,7.056325e-05,6.930025e-05,7.187e-05,0.0162882018540275,0.016288201854717847,0.0389946443298163,7.168499999999999e-05,7.102525e-05,6.931775e-05,5.0,0.09886040173321133,0.09237859321672277,0.02319579427481775,0.019526540999076598,0.75,0.0,0.02319579427486805,0.0195265409995964,0.75,0.0,0.75,0.0,0.75,0.0,0.045328629352198696,0.0427366634761015,0.0,0.0,0.0,0.0
4,4.0,0.01495713805352715,0.014957138053676025,-0.000488100791839225,0.0140422938918394,0.0051678183781433,0.0037706625,0.0028643545,2.5636951153283903e-09,1.0838563779403474e-34,3.687514055002672e-20,2.5636951153283903e-09,1.0838563779403474e-34,1.0078103563421853e-19,2.8069601806591616e-09,6.425833698572634e-35,1.8427908107837044e-20,0.0149571379820537,0.01495713798208065,0.03216703749894845,8.082525e-05,8.2281e-05,8.20225e-05,0.018150804571113323,0.018150804571073525,0.04787655301572233,8.354025e-05,8.408525e-05,8.292025e-05,9.0,0.08118885720266747,0.07711470191408883,0.0201339016537241,0.018132204137750928,1.0,0.0,0.020133901653878274,0.018132204138512027,1.0,0.0,1.0,0.0,1.0,0.0,0.0318117231595174,0.03280860158241398,0.0,0.0,0.0,0.0
5,5.0,0.01488111781399775,0.01488111781397875,-0.000550031197236975,0.0140180943133725,0.005939667512359575,0.004023176,0.00284782575,2.456396378441972e-09,1.0775543710941401e-34,3.492369312224288e-20,2.456396378441972e-09,1.0775543710941401e-34,8.560002835715147e-20,2.6936814381958438e-09,5.997444785334461e-35,1.741122775093572e-20,0.0148811176816078,0.01488111768160225,0.031589314596887796,8.226524999999999e-05,8.483775e-05,7.962e-05,0.0148832093847996,0.0148832093848412,0.03334056152481477,8.57975e-05,8.597075e-05,8.10625e-05,10.0,0.07748276660632342,0.0747171608225311,0.02039572247625325,0.018205132379983224,1.0,0.0,0.020395722476254874,0.0182051323793777,1.0,0.0,1.0,0.0,1.0,0.0,0.03181171854373027,0.03280859808025815,0.0,0.0,0.0,0.0
6,6.0,0.014810080461253174,0.014810080461359901,-0.000556110844495025,0.0139954948730521,0.005854817407897925,0.0040098469999999995,0.00302387375,2.5421044511092466e-09,1.2451151530052701e-34,5.571628812441514e-20,2.5421044511092466e-09,1.2451151530052701e-34,9.47094155141134e-20,2.669988763814839e-09,5.622604486251056e-35,1.637528514720799e-20,0.014810080390696576,0.014810080390724675,0.03382741804470818,8.8615e-05,9.10955e-05,8.478e-05,0.014861867734579825,0.0148618677345926,0.03241569477591435,9.153500000000001e-05,9.14125e-05,9.204825e-05,11.0,0.0745209797038362,0.07252459267338732,0.019904868557621577,0.018578910195042677,1.0,0.0,0.0199048685577576,0.01857891019490075,1.0,0.0,1.0,0.0,1.0,0.0,0.031772630650081145,0.0334482897865281,0.0,0.0,0.0,0.0
7,7.0,0.015780838586695975,0.015780838586696,0.0004975621768284781,0.0139354956166915,0.0061419557850952,0.004369447,0.00367890075,2.3231577523879358e-09,9.84293207143777e-35,3.4296820621197206e-20,2.3231577523879358e-09,9.84293207143777e-35,8.485589031011525e-20,2.4213348109338874e-09,4.734824830527205e-35,1.4486551775683334e-20,0.015780838069822077,0.0157808380698221,0.03352438374755362,0.0001026525,0.00010408575,0.00010197325,0.016355347646700227,0.0163553476466086,0.043310033899043046,0.0001026,0.00010382525,0.0001014825,14.0,0.06574641038165639,0.06547607753965859,0.01713690563855495,0.01899167230477265,1.0,0.75,0.017136905625405076,0.018991672304750726,1.0,0.75,1.0,0.75,1.0,0.75,0.025837860133158648,0.02791836049294335,0.0,0.0,0.0,0.0
8,8.0,0.01572356219154475,0.015723562191581875,0.0008219745962687751,0.0139176371324172,0.0066978449982909504,0.0046235005,0.003869557,2.4827609367098915e-09,1.2075616694481296e-34,3.3319625643117443e-20,2.4827609367098915e-09,1.2075616694481296e-34,9.095101443132112e-20,2.3227297971735266e-09,4.498083589000845e-35,1.3419560937548341e-20,0.015723561754858475,0.015723561754861802,0.03166739273646707,0.0001031035,0.0001048735,0.00010707275,0.015940124395501677,0.015940124395501677,0.03465923145184838,0.00010701375,0.00010620575,0.0001038905,15.0,0.06379348258827527,0.06370035054494642,0.01620009320714435,0.019251810543380175,1.0,0.75,0.016200093207086173,0.019251810544291075,1.0,0.75,1.0,0.75,1.0,0.75,0.02297174907548955,0.024077625897702275,0.0,0.0,0.0,0.0
9,9.0,0.0164901565740631,0.016490156574075925,0.0021618722814705253,0.0138543443557444,0.0075687375892028496,0.00539798825,0.00415595025,2.157787608295133e-09,9.837132047099534e-35,4.054356064058693e-20,2.157787608295133e-09,9.837132047099534e-35,7.145695262863445e-20,2.0105738749301988e-09,3.748402990834037e-35,1.0741511948071204e-20,0.01649015634115305,0.01649015634115695,0.0323544178723319,0.0001139125,0.0001177875,0.00010939749999999999,0.01777840011912465,0.017778400118930875,0.035313517771465526,0.00011962100000000001,0.0001254225,0.00011606100000000001,19.0,0.057250580980336675,0.05763314041431275,0.016326053115180327,0.01928303965388315,1.0,1.0,0.01632605311555045,0.019283039653815948,1.0,1.0,1.0,1.0,1.0,1.0,0.022856616737211177,0.023484738223347852,0.0,0.0,0.0,0.0
